family_id,assigned_day
4138,73.0
4139,83.0
4140,3.0
4141,9.0
4142,14.0
4143,18.0
4144,21.0
4145,23.0
4146,27.0
4147,33.0
4148,41.0
4149,46.0
4150,49.0
4151,52.0
4152,58.0
4153,59.0
4154,63.0
4155,68.0
4156,79.0
4157,84.0
4158,87.0
4159,5.0
4160,7.0
4161,8.0
4162,10.0
4163,11.0
4164,12.0
4165,16.0
4166,20.0
4167,24.0
4168,30.0
4169,31.0
4170,36.0
4171,38.0
4172,42.0
4173,44.0
4174,48.0
4175,54.0
4176,56.0
4177,61.0
4178,62.0
4179,64.0
4180,65.0
4181,69.0
4182,71.0
4183,72.0
4184,75.0
4185,80.0
4186,82.0
4187,93.0
4188,95.0
4189,97.0
4190,99.0
4191,2.0
4192,29.0
4193,34.0
4194,35.0
4195,45.0
4196,51.0
4197,59.0
4198,60.0
4199,63.0
4200,66.0
4201,77.0
4202,85.0
4203,86.0
4204,88.0
4205,89.0
4206,90.0
4207,91.0
4208,92.0
4209,98.0
4210,10.0
4211,15.0
4212,16.0
4213,17.0
4214,18.0
4215,19.0
4216,25.0
4217,26.0
4218,32.0
4219,36.0
4220,40.0
4221,47.0
4222,48.0
4223,50.0
4224,53.0
4225,55.0
4226,62.0
4227,68.0
4228,70.0
4229,74.0
4230,75.0
4231,78.0
4232,82.0
4233,83.0
4234,93.0
4235,94.0
4236,96.0
4237,99.0
4238,5.0
4239,6.0
4240,8.0
4241,9.0
4242,13.0
4243,14.0
4244,21.0
4245,22.0
4246,27.0
4247,37.0
4248,38.0
4249,39.0
4250,43.0
4251,46.0
4252,51.0
4253,57.0
4254,58.0
4255,64.0
4256,72.0
4257,76.0
4258,81.0
4259,85.0
4260,92.0
4261,97.0
4262,100.0
4263,1.0
4264,4.0
4265,12.0
4266,17.0
4267,23.0
4268,26.0
4269,42.0
4270,44.0
4271,49.0
4272,54.0
4273,61.0
4274,62.0
4275,65.0
4276,69.0
4277,74.0
4278,79.0
4279,83.0
4280,84.0
4281,90.0
4282,7.0
4283,8.0
4284,11.0
4285,15.0
4286,20.0
4287,28.0
4288,29.0
4289,30.0
4290,31.0
4291,32.0
4292,33.0
4293,35.0
4294,40.0
4295,41.0
4296,52.0
4297,56.0
4298,60.0
4299,63.0
4300,67.0
4301,68.0
4302,71.0
4303,78.0
4304,80.0
4305,87.0
4306,88.0
4307,89.0
4308,91.0
4309,93.0
4310,98.0
4311,99.0
4312,2.0
4313,3.0
4314,14.0
4315,16.0
4316,19.0
4317,21.0
4318,24.0
4319,48.0
4320,59.0
4321,64.0
4322,66.0
4323,73.0
4324,75.0
4325,77.0
4326,92.0
4327,94.0
4328,95.0
4329,100.0
4330,5.0
4331,10.0
4332,18.0
4333,23.0
4334,25.0
4335,27.0
4336,28.0
4337,31.0
4338,32.0
4339,36.0
4340,40.0
4341,44.0
4342,45.0
4343,47.0
4344,53.0
4345,54.0
4346,58.0
4347,65.0
4348,70.0
4349,81.0
4350,82.0
4351,86.0
4352,88.0
4353,96.0
4354,4.0
4355,11.0
4356,13.0
4357,14.0
4358,16.0
4359,17.0
4360,22.0
4361,26.0
4362,35.0
4363,37.0
4364,39.0
4365,43.0
4366,46.0
4367,49.0
4368,60.0
4369,62.0
4370,69.0
4371,84.0
4372,85.0
4373,89.0
4374,97.0
4375,100.0
4376,1.0
4377,7.0
4378,9.0
4379,15.0
4380,18.0
4381,32.0
4382,33.0
4383,34.0
4384,42.0
4385,45.0
4386,50.0
4387,55.0
4388,61.0
4389,76.0
4390,78.0
4391,79.0
4392,90.0
4393,6.0
4394,11.0
4395,17.0
4396,19.0
4397,21.0
4398,24.0
4399,38.0
4400,44.0
4401,51.0
4402,52.0
4403,57.0
4404,66.0
4405,67.0
4406,70.0
4407,72.0
4408,77.0
4409,80.0
4410,82.0
4411,83.0
4412,84.0
4413,87.0
4414,88.0
4415,91.0
4416,92.0
4417,94.0
4418,98.0
4419,3.0
4420,4.0
4421,8.0
4422,9.0
4423,10.0
4424,12.0
4425,13.0
4426,20.0
4427,29.0
4428,35.0
4429,36.0
4430,39.0
4431,40.0
4432,41.0
4433,43.0
4434,47.0
4435,48.0
4436,50.0
4437,56.0
4438,58.0
4439,60.0
4440,64.0
4441,65.0
4442,69.0
4443,74.0
4444,75.0
4445,86.0
4446,89.0
4447,93.0
4448,96.0
4449,2.0
4450,5.0
4451,6.0
4452,14.0
4453,15.0
4454,22.0
4455,23.0
4456,25.0
4457,26.0
4458,27.0
4459,30.0
4460,31.0
4461,34.0
4462,37.0
4463,45.0
4464,46.0
4465,54.0
4466,63.0
4467,66.0
4468,71.0
4469,79.0
4470,82.0
4471,83.0
4472,95.0
4473,97.0
4474,7.0
4475,8.0
4476,16.0
4477,19.0
4478,32.0
4479,41.0
4480,50.0
4481,51.0
4482,53.0
4483,55.0
4484,59.0
4485,61.0
4486,67.0
4487,68.0
4488,70.0
4489,73.0
4490,78.0
4491,84.0
4492,85.0
4493,92.0
4494,99.0
4495,1.0
4496,5.0
4497,9.0
4498,10.0
4499,18.0
4500,24.0
4501,31.0
4502,34.0
4503,42.0
4504,43.0
4505,44.0
4506,48.0
4507,54.0
4508,57.0
4509,64.0
4510,76.0
4511,77.0
4512,81.0
4513,90.0
4514,96.0
4515,98.0
4516,100.0
4517,4.0
4518,8.0
4519,11.0
4520,12.0
4521,13.0
4522,16.0
4523,28.0
4524,29.0
4525,30.0
4526,36.0
4527,38.0
4528,39.0
4529,40.0
4530,47.0
4531,49.0
4532,56.0
4533,62.0
4534,65.0
4535,69.0
4536,72.0
4537,75.0
4538,78.0
4539,88.0
4540,93.0
4541,94.0
4542,6.0
4543,10.0
4544,14.0
4545,15.0
4546,17.0
4547,20.0
4548,21.0
4549,25.0
4550,27.0
4551,32.0
4552,35.0
4553,46.0
4554,52.0
4555,60.0
4556,68.0
4557,71.0
4558,74.0
4559,79.0
4560,80.0
4561,89.0
4562,96.0
4563,3.0
4564,7.0
4565,11.0
4566,22.0
4567,23.0
4568,24.0
4569,26.0
4570,29.0
4571,33.0
4572,37.0
4573,38.0
4574,41.0
4575,42.0
4576,45.0
4577,49.0
4578,51.0
4579,55.0
4580,58.0
4581,63.0
4582,67.0
4583,70.0
4584,72.0
4585,83.0
4586,84.0
4587,85.0
4588,86.0
4589,87.0
4590,90.0
4591,93.0
4592,95.0
4593,100.0
4594,2.0
4595,5.0
4596,9.0
4597,13.0
4598,15.0
4599,19.0
4600,27.0
4601,30.0
4602,32.0
4603,34.0
4604,43.0
4605,47.0
4606,48.0
4607,50.0
4608,59.0
4609,61.0
4610,62.0
4611,71.0
4612,76.0
4613,77.0
4614,88.0
4615,91.0
4616,97.0
4617,99.0
4618,1.0
4619,3.0
4620,14.0
4621,18.0
4622,23.0
4623,26.0
4624,28.0
4625,31.0
4626,35.0
4627,40.0
4628,42.0
4629,44.0
4630,51.0
4631,53.0
4632,54.0
4633,55.0
4634,56.0
4635,58.0
4636,63.0
4637,64.0
4638,66.0
4639,67.0
4640,79.0
4641,81.0
4642,82.0
4643,85.0
4644,87.0
4645,92.0
4646,94.0
4647,98.0
4648,10.0
4649,20.0
4650,24.0
4651,25.0
4652,29.0
4653,33.0
4654,39.0
4655,68.0
4656,70.0
4657,73.0
4658,74.0
4659,75.0
4660,84.0
4661,93.0
4662,96.0
4663,99.0
4664,7.0
4665,8.0
4666,11.0
4667,16.0
4668,17.0
4669,22.0
4670,34.0
4671,36.0
4672,37.0
4673,38.0
4674,47.0
4675,49.0
4676,54.0
4677,59.0
4678,60.0
4679,65.0
4680,66.0
4681,69.0
4682,72.0
4683,76.0
4684,83.0
4685,86.0
4686,87.0
4687,89.0
4688,91.0
4689,94.0
4690,2.0
4691,3.0
4692,12.0
4693,23.0
4694,28.0
4695,30.0
4696,41.0
4697,46.0
4698,50.0
4699,52.0
4700,55.0
4701,56.0
4702,57.0
4703,68.0
4704,70.0
4705,71.0
4706,77.0
4707,78.0
4708,81.0
4709,88.0
4710,90.0
4711,97.0
4712,100.0
4713,1.0
4714,4.0
4715,8.0
4716,9.0
4717,14.0
4718,15.0
4719,18.0
4720,19.0
4721,21.0
4722,24.0
4723,27.0
4724,43.0
4725,44.0
4726,48.0
4727,51.0
4728,58.0
4729,59.0
4730,61.0
4731,67.0
4732,69.0
4733,82.0
4734,85.0
4735,92.0
4736,95.0
4737,5.0
4738,6.0
4739,10.0
4740,20.0
4741,25.0
4742,32.0
4743,35.0
4744,37.0
4745,38.0
4746,40.0
4747,45.0
4748,53.0
4749,62.0
4750,63.0
4751,64.0
4752,80.0
4753,84.0
4754,91.0
4755,96.0
4756,98.0
4757,99.0
4758,19.0
4759,23.0
4760,31.0
4761,34.0
4762,36.0
4763,39.0
4764,42.0
4765,46.0
4766,49.0
4767,54.0
4768,57.0
4769,58.0
4770,61.0
4771,65.0
4772,66.0
4773,71.0
4774,79.0
4775,83.0
4776,85.0
4777,88.0
4778,94.0
4779,3.0
4780,7.0
4781,8.0
4782,11.0
4783,13.0
4784,14.0
4785,16.0
4786,21.0
4787,22.0
4788,25.0
4789,26.0
4790,27.0
4791,28.0
4792,29.0
4793,32.0
4794,33.0
4795,37.0
4796,41.0
4797,51.0
4798,52.0
4799,53.0
4800,56.0
4801,60.0
4802,74.0
4803,75.0
4804,76.0
4805,77.0
4806,81.0
4807,86.0
4808,87.0
4809,89.0
4810,91.0
4811,97.0
4812,12.0
4813,17.0
4814,18.0
4815,34.0
4816,38.0
4817,39.0
4818,45.0
4819,48.0
4820,62.0
4821,73.0
4822,88.0
4823,90.0
4824,92.0
4825,93.0
4826,94.0
4827,95.0
4828,100.0
4829,1.0
4830,6.0
4831,9.0
4832,26.0
4833,30.0
4834,32.0
4835,35.0
4836,40.0
4837,43.0
4838,46.0
4839,47.0
4840,52.0
4841,55.0
4842,56.0
4843,57.0
4844,61.0
4845,64.0
4846,65.0
4847,72.0
4848,80.0
4849,82.0
4850,84.0
4851,96.0
4852,98.0
4853,2.0
4854,13.0
4855,20.0
4856,23.0
4857,24.0
4858,29.0
4859,31.0
4860,42.0
4861,44.0
4862,50.0
4863,58.0
4864,63.0
4865,66.0
4866,67.0
4867,68.0
4868,70.0
4869,71.0
4870,74.0
4871,75.0
4872,78.0
4873,88.0
4874,91.0
4875,99.0
4876,3.0
4877,4.0
4878,5.0
4879,6.0
4880,8.0
4881,11.0
4882,14.0
4883,15.0
4884,16.0
4885,17.0
4886,27.0
4887,33.0
4888,36.0
4889,49.0
4890,52.0
4891,54.0
4892,55.0
4893,59.0
4894,65.0
4895,81.0
4896,84.0
4897,85.0
4898,97.0
4899,7.0
4900,10.0
4901,12.0
4902,21.0
4903,24.0
4904,25.0
4905,28.0
4906,29.0
4907,34.0
4908,39.0
4909,43.0
4910,50.0
4911,60.0
4912,62.0
4913,69.0
4914,72.0
4915,73.0
4916,75.0
4917,77.0
4918,79.0
4919,87.0
4920,90.0
4921,92.0
4922,95.0
4923,96.0
4924,98.0
4925,1.0
4926,6.0
4927,8.0
4928,9.0
4929,13.0
4930,22.0
4931,26.0
4932,31.0
4933,32.0
4934,36.0
4935,37.0
4936,41.0
4937,44.0
4938,53.0
4939,64.0
4940,74.0
4941,82.0
4942,83.0
4943,86.0
4944,97.0
4945,100.0
4946,11.0
4947,15.0
4948,18.0
4949,19.0
4950,25.0
4951,33.0
4952,38.0
4953,42.0
4954,51.0
4955,54.0
4956,55.0
4957,57.0
4958,63.0
4959,65.0
4960,75.0
4961,76.0
4962,81.0
4963,84.0
4964,87.0
4965,88.0
4966,89.0
4967,91.0
4968,94.0
4969,96.0
4970,98.0
4971,3.0
4972,4.0
4973,6.0
4974,9.0
4975,16.0
4976,17.0
4977,20.0
4978,21.0
4979,24.0
4980,27.0
4981,29.0
4982,30.0
4983,31.0
4984,35.0
4985,43.0
4986,45.0
4987,47.0
4988,48.0
4989,56.0
4990,58.0
4991,59.0
4992,61.0
4993,64.0
4994,67.0
4995,70.0
4996,73.0
4997,78.0
4998,79.0
4999,80.0
